vendor_guid,object_type,title,description,friendly_description,display_name,calculation_method,calculation_int,parent_guids,workflow_state,mastery_points,ratings,,,,,,,,,
canvas_outcome:1259067,outcome,NURS 126L - SLO #1,"Utilizing gained knowledge of the roles and functions of the Licensed Vocational Nurse, the student will provide safe effective care to acute clients with multiple medical conditions that require advanced medical/surgical interventions that promote health. The intermediate vocational nursing student will utilize gained theoretical knowledge as well as previous healthcare and laboratory exprience, in order to plan and implement care of clients in a high acuity health care setting.",,,decaying_average,65,canvas_outcome_group:412386,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259068,outcome,NURS 126L - SLO #2,Apply theoretical and laboratory experiences and previous client care experiences that will demonstrate understanding and implementation of effective interventions that help to resolve client problems/concerns.,,,decaying_average,65,canvas_outcome_group:412386,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259069,outcome,NURS 126L - SLO #3,Accurately evaluate interventions and their effectiveness while dealing with the acute care client.,,,decaying_average,65,canvas_outcome_group:412386,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259070,outcome,NURS 126S - SLO #1,"Clearly communicate orally and in writing about complex adult and geriatric psychiatric, medical, and surgical clients.",,,decaying_average,65,canvas_outcome_group:412387,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259071,outcome,NURS 126S - SLO #2,"Discuss the application of nursing research to complex adult and geriatric psychiatric, medical, and surgical populations.",,,decaying_average,65,canvas_outcome_group:412387,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259240,outcome,NURS 127 - SLO #1,Choose effective techniques for the vocational nursing leader in response to clinical scenarios.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259241,outcome,NURS 127 - SLO #2,Use the nursing process to plan care for maternal/newborn clients in response to clinical scenarios.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259242,outcome,NURS 127 - SLO #3,Use the nursing process to plan care for pediatric clients in response to clinical scenarios.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259243,outcome,NURS 127 - SLO #4,Describe roles of the vocational nurse in multiple community settings.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259244,outcome,NURS 127 - SLO #5,Prepare for state licensure exam.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259245,outcome,NURS 127 - SLO #6,Prepare for vocational nursing job application.,,,decaying_average,65,canvas_outcome_group:412388,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259246,outcome,NURS 127L - SLO #1,"Demonstrate ability to work under stress effectively managing care tasks for 4 or more clients, managing members of the healthcare team while assisting to aid in solving legal/ethical or emergency situations that arise in the healthcare setting.",,,decaying_average,65,canvas_outcome_group:412389,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259247,outcome,NURS 127L - SLO #2,"Prove ability to manage care, communicate and intervene as needed while directing or caring for four or more clients that demonstrates the ability to enter beginning level Licensed Vocational Nursing Practice.",,,decaying_average,65,canvas_outcome_group:412389,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259248,outcome,NURS 137 - SLO #1,Analyze and interpret information pertaining to drug administration.,,,decaying_average,65,canvas_outcome_group:412390,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259249,outcome,NURS 137 - SLO #2,Correctly calculate drug dosages.,,,decaying_average,65,canvas_outcome_group:412390,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259250,outcome,NURS 138 - SLO #1,"Discuss the mechanism of action, side effects, significant drug interactions, and dosages of various drugs.",,,decaying_average,65,canvas_outcome_group:412391,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259251,outcome,NURS 138 - SLO #2,Describe the nursing responsibilities for administration of various drugs.,,,decaying_average,65,canvas_outcome_group:412391,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259252,outcome,NURS 138 - SLO #3,"Identify relevant drug information, which would be used in patient teaching.",,,decaying_average,65,canvas_outcome_group:412391,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259253,outcome,NURS 200 - SLO #1,Demonstrate professional development by practicing nursing skills and nursing concepts in a laboratory setting.,,,decaying_average,65,canvas_outcome_group:412392,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259254,outcome,NURS 202 - SLO #1,Document a performed head to toe assessment on a patient at their previous semester level.,,,decaying_average,65,canvas_outcome_group:412394,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259255,outcome,NURS 202 - SLO #2,Communicate theoretical knowledge and concepts of nursing practice in the patient care setting.,,,decaying_average,65,canvas_outcome_group:412394,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259256,outcome,NURS 210 - SLO #1,Analyze external and internal factors that promote the success of students in the registered nursing program.,,,decaying_average,65,canvas_outcome_group:412395,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259257,outcome,NURS 210 - SLO #2,Compare and contrast the role of the LVN and RN.,,,decaying_average,65,canvas_outcome_group:412395,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259258,outcome,NURS 210 - SLO #3,Demonstrate critical thinking skills when applying nursing knowledge to client care problems.,,,decaying_average,65,canvas_outcome_group:412395,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259259,outcome,NURS 210 - SLO #4,"Communicate clearly and effectively by demonstrating competencies in reading,speaking, listening, and writing .",,,decaying_average,65,canvas_outcome_group:412395,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259260,outcome,NURS 210 - SLO #5,Demonstrate the ability to perform basic nursing skills in the nursing laboratory.,,,decaying_average,65,canvas_outcome_group:412395,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259261,outcome,NURS 213 - SLO #1,"Verbalize anatomy and physiology knowledge relating to peripheral blood circulation in order to gather proper equipment, palpate/locate appropriate intravenous or blood withdrawal sites, while demonstrating techniques that provide for the comfort and safety of individual clients meeting the objective of three successful intravenous insertions and one successful blood withdrawal.",,,decaying_average,65,canvas_outcome_group:412397,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1259262,outcome,NURS 213 - SLO #2,"Utilize effective communication techniques that explain reasons and need for intravenous therapy or blood withdrawal, while allaying the fear of clients related to pain and discomfort of the procedures.",,,decaying_average,65,canvas_outcome_group:412397,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260497,outcome,LIB 10A SLO 1.,"Demonstrate effective search strategies to select, critically evaluate, cite, and ethically present information found in online resources.",,,decaying_average,65,canvas_outcome_group:410199,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260498,outcome,LIB 20 SLO 1.,"Produce a well-organized, coherent research paper or project demonstrating understanding of the research topic and its application for libraries.",,,decaying_average,65,canvas_outcome_group:410200,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260499,outcome,LIB 102 SLO 1.,"Apply tools, techniques and principles of basic and specialized reference services to assist library patrons in meeting their information needs. ",,,decaying_average,65,canvas_outcome_group:410202,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260500,outcome,LIB 102 SLO 2.,"Analyze and explain basic principles, policies and philosophy of library reference service, including ethical and service issues.",,,decaying_average,65,canvas_outcome_group:410202,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260501,outcome,LIB 104 SLO 1.,Distinguish and apply basic library acquisitions and technical services functions.,,,decaying_average,65,canvas_outcome_group:410204,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260502,outcome,LIB 104 SLO 2.,"Explain and discuss organizational, ethical, and legal issues related to library acquisitions, collection development and technical services.",,,decaying_average,65,canvas_outcome_group:410204,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260503,outcome,LIB 106 SLO 1.,Apply practical library technology job skills to perform technician level work in a library. ,,,decaying_average,65,canvas_outcome_group:410206,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260504,outcome,LIB 121 SLO 1.,"Identify the challenges and options relating to selection, imaging, and online access to digital objects that libraries confront when planning a digital program.",,,decaying_average,65,canvas_outcome_group:410207,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260505,outcome,LIB 121 SLO 2.,Demonstrate the ability to use imaging equipment and digital asset management software to create digital objects.,,,decaying_average,65,canvas_outcome_group:410207,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260506,outcome,LIB 122 SLO 1.,Identify the options available to libraries and cultural heritage organizations when selecting and implementing a metadata schema for a digital collection.,,,decaying_average,65,canvas_outcome_group:410208,active,4,4,Mastety,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260507,outcome,LIB 122 SLO 2.,Implement a metadata schema for a digital collection.,,,decaying_average,65,canvas_outcome_group:410208,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260508,outcome,LIB 123 SLO 1.,Apply general principles of copyright to assess the copyright status of original works of authorship to determine appropriateness for digitization.,,,decaying_average,65,canvas_outcome_group:410209,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260509,outcome,LIB 123 SLO 2.,Create a plan for communicating copyright status and use restrictions of digital content to online users.,,,decaying_average,65,canvas_outcome_group:410209,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260510,outcome,LIB 126 SLO 1.,Demonstrate how to create archival images and associated metadata.,,,decaying_average,65,canvas_outcome_group:410210,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1260511,outcome,LIB 126 SLO 2.,Describe and evaluate participation in an actual digital project as a tool for learning and potential employment.,,,decaying_average,65,canvas_outcome_group:410210,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262269,outcome,KATH 70 - SLO # 1,"Demonstrate and identify a level of skill related fitness components (speed, power, agility, reaction time, balance, and coordination).",,,decaying_average,65,canvas_outcome_group:410212,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262270,outcome,KATH 70 - SLO # 2,"Identify and apply the health related fitness components
(cardiovascular endurance, flexibility, muscular strength and
&nbsp;endurance body composition). ",,,decaying_average,65,canvas_outcome_group:410212,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262271,outcome,KATH 70 - SLO # 3,"Create and construct an individual workout utilizing the F.I.T.T principle-(Frequency, Intensity, Time, Type).",,,decaying_average,65,canvas_outcome_group:410212,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262272,outcome,KATH 71 - SLO # 1,"Demonstrate a level of skill related fitness components (speed, power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410213,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262273,outcome,KATH 71 - SLO # 2,"Identify and apply the health related fitness components (cardiovascular endurance, flexibility, muscular strength and endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410213,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262274,outcome,KATH 71 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T principle (Frequency, Intensity, Type, Time).",,,decaying_average,65,canvas_outcome_group:410213,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262275,outcome,KATH 72 - SLO # 1,"Demonstrate a level of skill related fitness components (speed, power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410214,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262276,outcome,KATH 72 - SLO # 2,"Identify and apply the health related fitness components (cardiovascular endurance, flexibility, muscular strength and endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410214,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262277,outcome,KATH 72 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T (frequency, intensity, type, time) principle.",,,decaying_average,65,canvas_outcome_group:410214,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262278,outcome,KATH 73 - SLO # 1,"Demonstrate a level of skill related fitness components (speed, power, agility, reaction time, balance and coordination)",,,decaying_average,65,canvas_outcome_group:410215,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262279,outcome,KATH 73 - SLO # 2,"Identify and apply the health related fitness components (cardiovascular endurance, flexibility, muscular strength and endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410215,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262280,outcome,KATH 73 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T (frequency, Intensity, Type, Time) principle.",,,decaying_average,65,canvas_outcome_group:410215,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262281,outcome,KATH 74 - SLO # 1,"Demonstrate a level of skill related fitness components (speed,
power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410216,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262282,outcome,KATH 74 - SLO # 2,"Identify and apply the health related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410216,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262283,outcome,KATH 74 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T (Frequency, Intensity, Type, Time) principle.",,,decaying_average,65,canvas_outcome_group:410216,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262284,outcome,KATH 75 - SLO # 1,"Demonstrate a level of skill related-fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410217,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262285,outcome,KATH 75 - SLO # 2,"Identify and apply the health-related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410217,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262286,outcome,KATH 75 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T (Frequency, Intensity, Type, Time) principle.",,,decaying_average,65,canvas_outcome_group:410217,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262469,outcome,KATH 76 - SLO # 1,"Demonstrate a level of skill-related fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410218,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262470,outcome,KATH 76 - SLO # 2,"Identify and apply the health-related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410218,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262471,outcome,KATH 76 - SLO # 3,Design and assess an individual workout utilizing the F.I.T.T principle.,,,decaying_average,65,canvas_outcome_group:410218,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262472,outcome,KATH 77 - SLO # 1,"Demonstrate a level of skill related fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410219,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262473,outcome,KATH 77 - SLO # 2,"Identify and apply the health related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410219,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262474,outcome,KATH 77 - SLO # 3,Design and assess an individual workout utilizing the F.I.T.T principle.,,,decaying_average,65,canvas_outcome_group:410219,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262475,outcome,KATH 78 - SLO # 3,Design and assess an individual workout utilizing the F.I.T.T principle.,,,decaying_average,65,canvas_outcome_group:410220,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262476,outcome,KATH 78 - SLO # 2,"Identify and apply the health related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410220,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1262477,outcome,KATH 78 - SLO # 1,"Demonstrate a level of skill related fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410220,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263259,outcome,KATH 79 - SLO # 1,"Demonstrate a level of skill related fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination).",,,decaying_average,65,canvas_outcome_group:410221,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263260,outcome,KATH 79 - SLO # 2,"Identify and apply the health related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410221,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263261,outcome,KATH 79 - SLO # 3,Design and assess an individual workout utilizing the F.I.T.T principle.,,,decaying_average,65,canvas_outcome_group:410221,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263262,outcome,KATH 80 - SLO # 1,"Demonstrate a level of skill related fitness components (speed,&nbsp;power, agility, reaction time, balance and coordination)",,,decaying_average,65,canvas_outcome_group:410222,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263263,outcome,KATH 80 - SLO # 2,"Identify and apply the health related fitness components&nbsp;(cardiovascular endurance, flexibility, muscular strength and&nbsp;endurance, body composition).",,,decaying_average,65,canvas_outcome_group:410222,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1263264,outcome,KATH 80 - SLO # 3,"Design and assess an individual workout utilizing the F.I.T.T (frequency, Intensity, Type, Time) principle.",,,decaying_average,65,canvas_outcome_group:410222,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264170,outcome,KATH 83 - SLO # 1,Explain and execute advanced skill techniques&nbsp;required to participate in baseball at the&nbsp;intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410223,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264171,outcome,KATH 83 - SLO # 2,Demonstrate an understanding of the rules of baseball.,,,decaying_average,65,canvas_outcome_group:410223,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264172,outcome,KATH 83 - SLO # 3,Summarize and demonstrate various defensive and offensive strategies in a practice and game setting.,,,decaying_average,65,canvas_outcome_group:410223,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264173,outcome,KATH 84 - SLO # 1,Identify and apply the fundamental rules of basketball.,,,decaying_average,65,canvas_outcome_group:410224,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264174,outcome,KATH 84 - SLO # 2,Identify and explain offensive and defensive strategies.,,,decaying_average,65,canvas_outcome_group:410224,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264175,outcome,KATH 84 - SLO # 3,Execute offensive and defensive techniques in practice.,,,decaying_average,65,canvas_outcome_group:410224,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264176,outcome,KATH 84 - SLO # 4,"Demonstrate proper form of blocking, dribbling, passing, and receiving at a beginning level.",,,decaying_average,65,canvas_outcome_group:410224,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264177,outcome,KATH 85 - SLO # 1,Execute advanced skill techniques required to participate in cross country at the intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410225,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264178,outcome,KATH 85 - SLO # 2,"Demonstrate a higher level of skill-related fitness&nbsp;components (speed, power, agility, reaction time, balance and&nbsp;coordination).",,,decaying_average,65,canvas_outcome_group:410225,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264179,outcome,KATH 86 - SLO # 1,Identify and apply fundamentals of offensive and defensive strategies in football.,,,decaying_average,65,canvas_outcome_group:410226,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264180,outcome,KATH 86 - SLO # 2,Execute advanced skill techniques required to participate in football at the intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410226,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264687,outcome,KATH 89 - SLO # 1,Identify the four(4) fundamentals of soccer.,,,decaying_average,65,canvas_outcome_group:410227,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264688,outcome,KATH 89 - SLO # 2,"Demonstrate and execute skills in maneuvering, changing speed on passing, dribbling, shooting(scoring) and heading of soccer.",,,decaying_average,65,canvas_outcome_group:410227,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264689,outcome,KATH 89 - SLO # 3,"Demonstrate stretching and warm-up exercises, flexibility and cardiovascular conditioning used in advanced soccer.",,,decaying_average,65,canvas_outcome_group:410227,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264690,outcome,KATH 90 - SLO # 1,Explain and execute advanced skill techniques&nbsp;required to participate in softball at the&nbsp;Intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410228,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264691,outcome,KATH 90 - SLO # 2,Demonstrate an understanding of the rules of&nbsp;softball.,,,decaying_average,65,canvas_outcome_group:410228,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264692,outcome,KATH 90 - SLO # 3,Summarize and demonstrate various defensive and offensive strategies in a practice and game setting.,,,decaying_average,65,canvas_outcome_group:410228,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264693,outcome,KATH 91 - SLO # 1,"Identify and apply the 4 competitive strokes, (butterfly, backstroke, breaststroke and freestyle,) into level diving and the skills and mechanics which accompany them at the competitive level (starts, pull-downs, turns, finishes, approach, etc.).",,,decaying_average,65,canvas_outcome_group:410229,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264694,outcome,KATH 91 - SLO # 2,"Demonstrate and recite understanding of the NCAA, CCCAA rules and regulations governing the sport of swimming and diving.",,,decaying_average,65,canvas_outcome_group:410229,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264695,outcome,KATH 91 - SLO # 3,"Define and implement aerobic, anaerobic, distance and sprint training into conditioning and racing.",,,decaying_average,65,canvas_outcome_group:410229,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264696,outcome,KATH 93 - SLO # 1,Demonstrate the fundamental skills of track and field.,,,decaying_average,65,canvas_outcome_group:410230,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264697,outcome,KATH 93 - SLO # 2,Apply the basic and advanced skills within a team concept of track and field.,,,decaying_average,65,canvas_outcome_group:410230,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264698,outcome,KATH 93 - SLO # 3,"Recite the rules that govern track &amp; field, NCAA, CCCAA, IAAF, and apply them in practice and competition",,,decaying_average,65,canvas_outcome_group:410230,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264699,outcome,KATH 94 - SLO # 1,Define the rules and regulations of the NCAA and CCCAA volleyball manual.,,,decaying_average,65,canvas_outcome_group:410231,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264700,outcome,KATH 94 - SLO # 2,Develop and understand the defensive and offensive strategies through practice and competition.,,,decaying_average,65,canvas_outcome_group:410231,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264701,outcome,KATH 94 - SLO # 3,Explain and execute advanced skill techniques&nbsp;required to participate in Volleyball at the&nbsp;intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410231,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264702,outcome,KATH 95 - SLO # 1,Explain and execute advanced skill techniques&nbsp;required to participate in Waterpolo at the&nbsp;intercollegiate level.,,,decaying_average,65,canvas_outcome_group:410232,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264703,outcome,KATH 95 - SLO # 2,Demonstrate an understanding of the rules of&nbsp;waterpolo.,,,decaying_average,65,canvas_outcome_group:410232,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264704,outcome,KATH 95 - SLO # 3,Summarize and demonstrate various defensive and offensive strategies in a practice and game setting.,,,decaying_average,65,canvas_outcome_group:410232,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
canvas_outcome:1264705,outcome,KATH 96 - SLO # 1,Identify and apply the rules of badminton.,,,decaying_average,65,canvas_outcome_group:410233,active,4,4,Mastery,3,Accomplished,2,Adequate,1,Developing,0,Inadequate
